year,date,month,arrest_type,offense,age,age_group,sex,race,weapon,offense_group,race_new
2021,2021-09-19,Sep,On View,Assault or Intimidation,30,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-19,Sep,On View,Assault or Intimidation,41,40-49,Female,Black or African American,Firearm-involved,Violent Crimes,Black or African American
2021,2021-09-19,Sep,On View,Crime against sociey,27,20-29,Male,Black or African American,Firearm-involved,Crime Against Society,Black or African American
2021,2021-09-21,Sep,On View,Robbery,27,20-29,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-19,Sep,On View,Crime against sociey,35,30-39,Male,Black or African American,Unarmed,Crime Against Society,Black or African American
2021,2021-09-19,Sep,On View,"Theft, Auto-theft, and Larceny",42,40-49,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-09-19,Sep,On View,Assault or Intimidation,41,40-49,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-19,Sep,On View,Robbery,25,20-29,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-12-04,Dec,Custodied,Sexual Assault or Rape,57,50 or above,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-19,Sep,On View,Assault or Intimidation,30,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-19,Sep,On View,Aggravated Assault,30,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-19,Sep,On View,Property Destruction,32,30-39,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-09-19,Sep,On View,Assault or Intimidation,51,50 or above,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-19,Sep,On View,Assault or Intimidation,34,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-20,Sep,On View,Crime against sociey,70,50 or above,Male,White,Unarmed,Crime Against Society,White
2021,2021-09-20,Sep,On View,Assault or Intimidation,40,40-49,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-20,Sep,On View,Burglary or Trespassing,45,40-49,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-09-20,Sep,On View,Assault or Intimidation,30,30-39,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-20,Sep,On View,Assault or Intimidation,28,20-29,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-20,Sep,On View,Assault or Intimidation,33,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-11-10,Nov,Custodied,Assault or Intimidation,38,30-39,Male,Black or African American,Firearm-involved,Violent Crimes,Black or African American
2021,2021-09-20,Sep,On View,Aggravated Assault,33,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-20,Sep,On View,Aggravated Assault,26,20-29,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-20,Sep,On View,Assault or Intimidation,46,40-49,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-20,Sep,On View,Property Destruction,37,30-39,Female,White,Unarmed,Property Crimes,White
2021,2021-09-20,Sep,On View,Assault or Intimidation,18,Under 20,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-20,Sep,On View,Crime against sociey,58,50 or above,Male,Black or African American,Unarmed,Crime Against Society,Black or African American
2021,2022-02-18,Feb,On View,"Theft, Auto-theft, and Larceny",33,30-39,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-09-20,Sep,On View,"Theft, Auto-theft, and Larceny",39,30-39,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-09-20,Sep,On View,Crime against sociey,35,30-39,Male,Black or African American,Firearm-involved,Crime Against Society,Black or African American
2021,2021-09-20,Sep,Custodied,"Theft, Auto-theft, and Larceny",57,50 or above,Female,White,Unarmed,Property Crimes,White
2021,2021-09-20,Sep,On View,"Theft, Auto-theft, and Larceny",58,50 or above,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-09-20,Sep,On View,"Theft, Auto-theft, and Larceny",60,50 or above,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-09-20,Sep,On View,Assault or Intimidation,45,40-49,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-20,Sep,On View,Assault or Intimidation,67,50 or above,Male,Black or African American,Firearm-involved,Violent Crimes,Black or African American
2021,2021-09-20,Sep,On View,Aggravated Assault,46,40-49,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-21,Sep,On View,Assault or Intimidation,53,50 or above,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-22,Sep,On View,Aggravated Assault,30,30-39,Male,Black or African American,Firearm-involved,Violent Crimes,Black or African American
2021,2021-09-21,Sep,On View,Assault or Intimidation,23,20-29,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-29,Sep,Custodied,Sexual Assault or Rape,24,20-29,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-21,Sep,On View,Assault or Intimidation,44,40-49,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-21,Sep,On View,Assault or Intimidation,48,40-49,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-21,Sep,On View,Aggravated Assault,29,20-29,Male,Black or African American,Firearm-involved,Violent Crimes,Black or African American
2021,2021-09-21,Sep,On View,Property Destruction,25,20-29,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-09-21,Sep,On View,Assault or Intimidation,31,30-39,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-21,Sep,On View,Assault or Intimidation,28,20-29,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-21,Sep,On View,Assault or Intimidation,32,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-21,Sep,On View,Assault or Intimidation,29,20-29,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-21,Sep,On View,Assault or Intimidation,53,50 or above,Female,Black or African American,Firearm-involved,Violent Crimes,Black or African American
2021,2021-10-09,Oct,On View,Drug-related,46,40-49,Male,Black or African American,Unarmed,Drug Crimes,Black or African American
2021,2021-09-21,Sep,On View,Assault or Intimidation,31,30-39,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-21,Sep,On View,Crime against sociey,19,Under 20,Male,Black or African American,Firearm-involved,Crime Against Society,Black or African American
2021,2021-09-21,Sep,On View,Drug-related,34,30-39,Male,Black or African American,Unarmed,Drug Crimes,Black or African American
2021,2021-09-21,Sep,On View,"Theft, Auto-theft, and Larceny",54,50 or above,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-09-21,Sep,On View,Crime against sociey,41,40-49,Male,Black or African American,Firearm-involved,Crime Against Society,Black or African American
2021,2021-09-21,Sep,On View,Assault or Intimidation,33,30-39,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-21,Sep,On View,Assault or Intimidation,36,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-21,Sep,On View,Assault or Intimidation,33,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-21,Sep,Custodied,Assault or Intimidation,50,50 or above,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-21,Sep,On View,Assault or Intimidation,49,40-49,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-21,Sep,On View,Assault or Intimidation,57,50 or above,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-21,Sep,On View,Assault or Intimidation,32,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-21,Sep,On View,Assault or Intimidation,30,30-39,Male,Black or African American,Firearm-involved,Violent Crimes,Black or African American
2021,2021-09-22,Sep,On View,Assault or Intimidation,56,50 or above,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-22,Sep,On View,Assault or Intimidation,26,20-29,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-22,Sep,On View,Assault or Intimidation,43,40-49,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-24,Sep,Custodied,Aggravated Assault,36,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-22,Sep,On View,Assault or Intimidation,50,50 or above,Male,Black or African American,Firearm-involved,Violent Crimes,Black or African American
2021,2021-09-29,Sep,Custodied,Sexual Assault or Rape,24,20-29,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-22,Sep,Custodied,Crime against sociey,39,30-39,Male,Black or African American,Firearm-involved,Crime Against Society,Black or African American
2021,2021-09-22,Sep,On View,Property Destruction,24,20-29,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-09-22,Sep,On View,Aggravated Assault,28,20-29,Male,Black or African American,Weapon with a blade,Violent Crimes,Black or African American
2021,2021-09-22,Sep,On View,Drug-related,64,50 or above,Male,Black or African American,Unarmed,Drug Crimes,Black or African American
2021,2021-10-09,Oct,On View,Drug-related,46,40-49,Male,Black or African American,Unarmed,Drug Crimes,Black or African American
2021,2021-09-22,Sep,On View,Property Destruction,28,20-29,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-09-22,Sep,On View,Assault or Intimidation,23,20-29,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-22,Sep,On View,Assault or Intimidation,58,50 or above,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-22,Sep,Custodied,Assault or Intimidation,50,50 or above,Female,White,Unarmed,Violent Crimes,White
2021,2021-09-22,Sep,On View,Assault or Intimidation,42,40-49,Male,Black or African American,Weapon with a blade,Violent Crimes,Black or African American
2021,2021-09-22,Sep,On View,Crime against sociey,40,40-49,Female,Black or African American,Weapon with a blade,Crime Against Society,Black or African American
2021,2021-09-22,Sep,On View,Assault or Intimidation,36,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-22,Sep,On View,Assault or Intimidation,33,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-22,Sep,On View,Crime against sociey,20,20-29,Male,Black or African American,Firearm-involved,Crime Against Society,Black or African American
2021,2021-09-22,Sep,On View,Crime against sociey,28,20-29,Male,Black or African American,Firearm-involved,Crime Against Society,Black or African American
2021,2021-09-22,Sep,On View,Crime against sociey,27,20-29,Male,Black or African American,Firearm-involved,Crime Against Society,Black or African American
2021,2021-09-29,Sep,Custodied,Property Destruction,28,20-29,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-09-22,Sep,On View,Assault or Intimidation,40,40-49,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-23,Sep,On View,Assault or Intimidation,24,20-29,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-23,Sep,On View,"Theft, Auto-theft, and Larceny",33,30-39,Female,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-09-23,Sep,On View,"Theft, Auto-theft, and Larceny",36,30-39,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-09-23,Sep,On View,Assault or Intimidation,40,40-49,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-23,Sep,On View,Assault or Intimidation,27,20-29,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-29,Sep,Custodied,Sexual Assault or Rape,24,20-29,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-23,Sep,On View,Aggravated Assault,29,20-29,Male,Black or African American,Weapon with a blade,Violent Crimes,Black or African American
2021,2021-09-23,Sep,On View,Aggravated Assault,23,20-29,Male,Black or African American,Firearm-involved,Violent Crimes,Black or African American
2021,2021-09-23,Sep,On View,Aggravated Assault,26,20-29,Male,Black or African American,Firearm-involved,Violent Crimes,Black or African American
2021,2021-09-23,Sep,On View,"Theft, Auto-theft, and Larceny",46,40-49,Male,White,Unarmed,Property Crimes,White
2021,2021-09-23,Sep,On View,Drug-related,69,50 or above,Male,Black or African American,Unarmed,Drug Crimes,Black or African American
2021,2021-09-23,Sep,On View,"Theft, Auto-theft, and Larceny",42,40-49,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-09-23,Sep,On View,Assault or Intimidation,27,20-29,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-23,Sep,On View,Crime against sociey,33,30-39,Male,Black or African American,Firearm-involved,Crime Against Society,Black or African American
2021,2021-09-23,Sep,On View,Drug-related,53,50 or above,Male,Black or African American,Unarmed,Drug Crimes,Black or African American
2021,2021-09-23,Sep,On View,Assault or Intimidation,58,50 or above,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-23,Sep,On View,"Theft, Auto-theft, and Larceny",61,50 or above,Female,Black or African American,Firearm-involved,Property Crimes,Black or African American
2021,2021-09-23,Sep,On View,Property Destruction,24,20-29,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-09-23,Sep,On View,Assault or Intimidation,27,20-29,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-23,Sep,On View,Assault or Intimidation,32,30-39,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-23,Sep,On View,Crime against sociey,66,50 or above,Male,Black or African American,Firearm-involved,Crime Against Society,Black or African American
2021,2021-09-23,Sep,On View,Assault or Intimidation,36,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-23,Sep,On View,Assault or Intimidation,31,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-23,Sep,On View,Assault or Intimidation,65,50 or above,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-23,Sep,On View,Property Destruction,29,20-29,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-09-24,Sep,On View,Assault or Intimidation,31,30-39,Female,White,Unarmed,Violent Crimes,White
2021,2021-09-24,Sep,On View,Assault or Intimidation,36,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-24,Sep,On View,Assault or Intimidation,40,40-49,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-24,Sep,On View,"Theft, Auto-theft, and Larceny",37,30-39,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-09-24,Sep,On View,Drug-related,26,20-29,Male,Black or African American,Firearm-involved,Drug Crimes,Black or African American
2021,2021-09-24,Sep,On View,Assault or Intimidation,32,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2022-02-18,Feb,On View,"Theft, Auto-theft, and Larceny",33,30-39,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-09-24,Sep,On View,Assault or Intimidation,33,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-24,Sep,On View,Drug-related,23,20-29,Male,Black or African American,Unarmed,Drug Crimes,Black or African American
2021,2021-09-24,Sep,On View,Assault or Intimidation,51,50 or above,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-24,Sep,On View,Assault or Intimidation,30,30-39,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-24,Sep,On View,Assault or Intimidation,64,50 or above,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-24,Sep,On View,Assault or Intimidation,63,50 or above,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-24,Sep,On View,Assault or Intimidation,37,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-24,Sep,On View,Assault or Intimidation,47,40-49,Male,Black or African American,Firearm-involved,Violent Crimes,Black or African American
2021,2021-09-24,Sep,On View,Crime against sociey,32,30-39,Male,Black or African American,Firearm-involved,Crime Against Society,Black or African American
2021,2021-10-19,Oct,Custodied,Sexual Assault or Rape,30,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-25,Sep,On View,Assault or Intimidation,43,40-49,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-25,Sep,On View,Assault or Intimidation,41,40-49,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-25,Sep,On View,Robbery,22,20-29,Male,White,Unarmed,Violent Crimes,White
2021,2021-09-25,Sep,On View,"Theft, Auto-theft, and Larceny",32,30-39,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-09-25,Sep,On View,Assault or Intimidation,68,50 or above,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-25,Sep,On View,Assault or Intimidation,40,40-49,Male,Black or African American,Firearm-involved,Violent Crimes,Black or African American
2021,2021-09-25,Sep,On View,Assault or Intimidation,21,20-29,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-25,Sep,On View,Assault or Intimidation,30,30-39,Female,Black or African American,Firearm-involved,Violent Crimes,Black or African American
2021,2021-09-25,Sep,On View,Crime against sociey,21,20-29,Male,Black or African American,Firearm-involved,Crime Against Society,Black or African American
2021,2021-09-25,Sep,On View,Assault or Intimidation,39,30-39,Male,White,Unarmed,Violent Crimes,White
2021,2021-09-25,Sep,On View,Assault or Intimidation,31,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-25,Sep,On View,Assault or Intimidation,36,30-39,Male,White,Unarmed,Violent Crimes,White
2021,2021-09-25,Sep,On View,Assault or Intimidation,49,40-49,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-25,Sep,On View,Assault or Intimidation,42,40-49,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-25,Sep,On View,Aggravated Assault,57,50 or above,Male,Black or African American,Firearm-involved,Violent Crimes,Black or African American
2021,2021-09-25,Sep,On View,Crime against sociey,31,30-39,Male,Black or African American,Firearm-involved,Crime Against Society,Black or African American
2021,2021-09-26,Sep,On View,Assault or Intimidation,38,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-26,Sep,On View,Crime against sociey,27,20-29,Male,Black or African American,Firearm-involved,Crime Against Society,Black or African American
2021,2021-09-26,Sep,On View,Crime against sociey,30,30-39,Male,Black or African American,Firearm-involved,Crime Against Society,Black or African American
2021,2021-09-26,Sep,On View,Assault or Intimidation,53,50 or above,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-26,Sep,On View,Aggravated Assault,34,30-39,Male,White,Firearm-involved,Violent Crimes,White
2021,2021-09-26,Sep,On View,Aggravated Assault,22,20-29,Male,Black or African American,Firearm-involved,Violent Crimes,Black or African American
2021,2021-09-26,Sep,On View,Crime against sociey,36,30-39,Female,Black or African American,Unarmed,Crime Against Society,Black or African American
2021,2021-09-26,Sep,On View,Assault or Intimidation,43,40-49,Male,Black or African American,Firearm-involved,Violent Crimes,Black or African American
2021,2021-09-26,Sep,On View,Assault or Intimidation,36,30-39,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-26,Sep,On View,"Theft, Auto-theft, and Larceny",50,50 or above,Male,Black or African American,Firearm-involved,Property Crimes,Black or African American
2021,2021-09-26,Sep,On View,"Theft, Auto-theft, and Larceny",34,30-39,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-09-26,Sep,On View,Aggravated Assault,24,20-29,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-26,Sep,On View,Assault or Intimidation,36,30-39,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-10-03,Oct,Custodied,Assault or Intimidation,19,Under 20,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-26,Sep,On View,Assault or Intimidation,26,20-29,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-26,Sep,On View,Assault or Intimidation,30,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-10-06,Oct,On View,Murder and Nonnegligent Manslaughter,40,40-49,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-26,Sep,On View,Assault or Intimidation,29,20-29,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-26,Sep,On View,Crime against sociey,26,20-29,Male,Black or African American,Unarmed,Crime Against Society,Black or African American
2021,2021-09-26,Sep,On View,Assault or Intimidation,58,50 or above,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-26,Sep,On View,Assault or Intimidation,62,50 or above,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-27,Sep,On View,Assault or Intimidation,31,30-39,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-27,Sep,On View,Assault or Intimidation,40,40-49,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-11-02,Nov,Custodied,"Theft, Auto-theft, and Larceny",20,20-29,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-09-29,Sep,Custodied,Crime against sociey,28,20-29,Male,Black or African American,Unarmed,Crime Against Society,Black or African American
2021,2021-09-27,Sep,On View,Assault or Intimidation,49,40-49,Male,Black or African American,Weapon with a blade,Violent Crimes,Black or African American
2021,2021-09-27,Sep,On View,Assault or Intimidation,27,20-29,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-27,Sep,On View,Assault or Intimidation,26,20-29,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-27,Sep,On View,Property Destruction,60,50 or above,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-09-27,Sep,On View,"Theft, Auto-theft, and Larceny",46,40-49,Female,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-09-27,Sep,On View,Crime against sociey,23,20-29,Male,Black or African American,Firearm-involved,Crime Against Society,Black or African American
2021,2021-09-27,Sep,On View,Assault or Intimidation,43,40-49,Male,White,Unarmed,Violent Crimes,White
2021,2021-09-27,Sep,On View,Assault or Intimidation,28,20-29,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-27,Sep,On View,Assault or Intimidation,33,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-27,Sep,On View,Property Destruction,51,50 or above,Female,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2022-02-18,Feb,On View,"Theft, Auto-theft, and Larceny",33,30-39,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-09-27,Sep,On View,Assault or Intimidation,25,20-29,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-27,Sep,On View,Crime against sociey,44,40-49,Male,Black or African American,Firearm-involved,Crime Against Society,Black or African American
2021,2021-09-28,Sep,On View,Assault or Intimidation,29,20-29,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-28,Sep,On View,Assault or Intimidation,35,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-28,Sep,On View,"Theft, Auto-theft, and Larceny",42,40-49,Male,Black or African American,Firearm-involved,Property Crimes,Black or African American
2021,2021-10-01,Oct,Custodied,Arson and Kidnapping/Abduction,47,40-49,Male,Asian,Unarmed,Violent Crimes,Other races
2021,2021-09-28,Sep,On View,Assault or Intimidation,36,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-28,Sep,On View,Assault or Intimidation,42,40-49,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-28,Sep,On View,Assault or Intimidation,32,30-39,Male,Black or African American,Firearm-involved,Violent Crimes,Black or African American
2021,2021-09-28,Sep,Custodied,Fraud,39,30-39,Female,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-09-28,Sep,On View,Assault or Intimidation,46,40-49,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-28,Sep,On View,"Theft, Auto-theft, and Larceny",28,20-29,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-12-06,Dec,Custodied,Murder and Nonnegligent Manslaughter,60,50 or above,Male,Black or African American,Firearm-involved,Violent Crimes,Black or African American
2021,2021-09-28,Sep,On View,"Theft, Auto-theft, and Larceny",62,50 or above,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-09-28,Sep,On View,Assault or Intimidation,34,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-28,Sep,On View,"Theft, Auto-theft, and Larceny",57,50 or above,Male,Black or African American,Firearm-involved,Property Crimes,Black or African American
2021,2021-09-29,Sep,On View,Robbery,18,Under 20,Male,Black or African American,Firearm-involved,Violent Crimes,Black or African American
2021,2021-09-29,Sep,On View,Robbery,18,Under 20,Male,Black or African American,Firearm-involved,Violent Crimes,Black or African American
2021,2021-09-28,Sep,On View,Assault or Intimidation,34,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-28,Sep,On View,Crime against sociey,45,40-49,Male,Black or African American,Firearm-involved,Crime Against Society,Black or African American
2021,2021-09-28,Sep,On View,Property Destruction,37,30-39,Female,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-09-28,Sep,On View,Assault or Intimidation,35,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-28,Sep,On View,Crime against sociey,37,30-39,Male,Black or African American,Firearm-involved,Crime Against Society,Black or African American
2021,2021-09-28,Sep,On View,Aggravated Assault,30,30-39,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-12-16,Dec,Custodied,"Theft, Auto-theft, and Larceny",51,50 or above,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-09-28,Sep,On View,Assault or Intimidation,35,30-39,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-28,Sep,On View,"Theft, Auto-theft, and Larceny",39,30-39,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-09-28,Sep,On View,Assault or Intimidation,31,30-39,Male,White,Unarmed,Violent Crimes,White
2021,2021-09-28,Sep,On View,Assault or Intimidation,37,30-39,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-28,Sep,On View,"Theft, Auto-theft, and Larceny",44,40-49,Male,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-09-28,Sep,On View,Assault or Intimidation,54,50 or above,Male,White,Unarmed,Violent Crimes,White
2021,2021-09-28,Sep,On View,Crime against sociey,32,30-39,Male,Black or African American,Firearm-involved,Crime Against Society,Black or African American
2021,2021-09-28,Sep,On View,Assault or Intimidation,27,20-29,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-28,Sep,On View,Assault or Intimidation,37,30-39,Male,White,Unarmed,Violent Crimes,White
2021,2021-09-29,Sep,On View,Assault or Intimidation,22,20-29,Female,Black or African American,Weapon with a blade,Violent Crimes,Black or African American
2021,2021-09-29,Sep,On View,Assault or Intimidation,18,Under 20,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-29,Sep,On View,Crime against sociey,33,30-39,Male,Black or African American,Firearm-involved,Crime Against Society,Black or African American
2021,2021-09-29,Sep,On View,Crime against sociey,38,30-39,Male,Black or African American,Firearm-involved,Crime Against Society,Black or African American
2021,2021-09-29,Sep,On View,"Theft, Auto-theft, and Larceny",39,30-39,Female,Black or African American,Unarmed,Property Crimes,Black or African American
2021,2021-09-29,Sep,On View,Assault or Intimidation,31,30-39,Female,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-29,Sep,On View,Assault or Intimidation,43,40-49,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
2021,2021-09-29,Sep,On View,Robbery,18,Under 20,Male,Black or African American,Unarmed,Violent Crimes,Black or African American
